LON      	LAT     	DEPTH	MAG 	MAGxMAG	EVENTID	AUTHOR   	DATE      	TIME       	DEPFIX	DEPQUAL	AUTHOR   	TYPE  						
-74.344	-7.955	147.3	5.2	27.04	615780773	ISC-EHB  	5/01/1964	33:55.8	      	L1     	ISC      	mb    						
-71.553	-16.31	115.5	6.2	38.44	615780817	ISC-EHB  	26/01/1964	09:35.3	      	L1     	ISC      	mb    						
-79.757	-2.049	90	5.4	29.16	615780928	ISC-EHB  	20/03/1964	55:31.6	TRUE  	L1     	ISC      	mb    						
-77.051	-5.675	116.5	5.2	27.04	615780935	ISC-EHB  	22/03/1964	05:36.9	      	L1     	ISC      	mb    						
-71.187	-18.331	35	5.1	26.01	615781173	ISC-EHB  	9/04/1964	54:43.1	TRUE  	L3     	ISC      	mb    						
-72.79	-18.547	15	5	25	615781289	ISC-EHB  	5/05/1964	26:53.1	TRUE  	L3     	ISC      	mb    						
-80.313	-0.877	25	5.8	33.64	615781353	ISC-EHB  	19/05/1964	03:38.2	TRUE  	L1     	ISC      	mb    	ISC      	MS    	6.1			
-80.28	-0.828	25	4.7	22.09	615781354	ISC-EHB  	20/05/1964	25:05.3	TRUE  	L1     	ISC      	mb    						
-69.138	-18.325	129.7	4.7	22.09	615781364	ISC-EHB  	23/05/1964	31:05.7	      	L2     	ISC      	mb    						
-74.893	-13.361	103.8	5.1	26.01	615781387	ISC-EHB  	28/05/1964	49:59.2	      	L1     	ISC      	mb    						
-76.397	-9.758	122.7	5.5	30.25	615781421	ISC-EHB  	4/06/1964	46:03.6	      	L2     	ISC      	mb    						
-79.106	-0.187	15	4.8	23.04	615781436	ISC-EHB  	9/06/1964	16:11.2	TRUE  	L3     	ISC      	mb    						
-73.438	-15.257	94.7	4.9	24.01	615781493	ISC-EHB  	21/06/1964	54:48.1	      	L1     	ISC      	mb    						
-73.198	-14.295	83.6	5.3	28.09	615781528	ISC-EHB  	1/07/1964	49:19.5	      	L1     	ISC      	mb    						
-69.1	-17.9	142.3	5	25	615781526	ISC-EHB  	1/07/1964	20:53.2	      	L1     	ISC      	mb    						
-72.395	-16.522	84.6	5.4	29.16	615781535	ISC-EHB  	4/07/1964	13:45.9	      	L1     	ISC      	mb    						
-71.368	-18.387	45.8	4.6	21.16	615781594	ISC-EHB  	18/07/1964	13:17.8	      	L1     	ISC      	mb    						
-77.923	-1.786	154	4.4	19.36	615781633	ISC-EHB  	27/07/1964	03:33.3	      	L1     	ISC      	mb    						
-71.046	-16.714	99.1	4.8	23.04	615781675	ISC-EHB  	10/08/1964	34:53.2	      	L2     	ISC      	mb    						
-74.497	-7.311	155.8	5.3	28.09	615781700	ISC-EHB  	18/08/1964	26:53.2	      	L1     	ISC      	mb    						
-69.218	-18.359	121.4	5.3	28.09	615781752	ISC-EHB  	4/09/1964	37:02.8	      	L1     	ISC      	mb    						
-72.886	-15.691	107.2	5	25	615781797	ISC-EHB  	17/09/1964	41:14.5	      	L1     	ISC      	mb    						
-71.387	-17.799	31.1	4.8	23.04	615781866	ISC-EHB  	11/10/1964	19:13.2	      	L2     	ISC      	mb    						
-78.963	-2.102	15	5.2	27.04	615781925	ISC-EHB  	25/10/1964	56:28.8	TRUE  	L3     	ISC      	mb    						
-77.183	-1.991	162.4	5.4	29.16	615781920	ISC-EHB  	25/10/1964	25:49.9	      	L1     	ISC      	mb    						
-76.794	-4.022	106	5.8	33.64	615781944	ISC-EHB  	2/11/1964	51:01.2	      	L1     	ISC      	mb    						
-75.155	-13.383	100	5	25	615781982	ISC-EHB  	11/11/1964	48:58.7	      	L2     	ISC      	mb    						
-70.555	-18.364	70	4.7	22.09	615781988	ISC-EHB  	12/11/1964	13:35.6	TRUE  	L3     	ISC      	mb    						
-75.107	-13.168	97.2	4.3	18.49	615782011	ISC-EHB  	18/11/1964	04:01.4	      	L1     	ISC      	mb    						
-71.298	-7.906	640.6	5.4	29.16	615782053	ISC-EHB  	28/11/1964	49:30.7	      	L1     	ISC      	mb    						
-71.288	-7.934	642.1	5.3	28.09	615782052	ISC-EHB  	28/11/1964	41:34.9	      	L1     	ISC      	mb    	GCMT     	MW    	5.8			
-71.279	-9.557	609.8	5.1	26.01	615782117	ISC-EHB  	22/12/1964	24:49.4	      	L1     	ISC      	mb    						
-69.06	-18.805	124.2	4.7	22.09	615782131	ISC-EHB  	25/12/1964	48:39.6	      	L1     	ISC      	mb    						
-74.975	-9.731	25	5.3	28.09	615783794	ISC-EHB  	12/01/1965	36:49.5	TRUE  	L3     	ISC      	mb    						
-81.465	-5.699	25	5.4	29.16	615783800	ISC-EHB  	14/01/1965	25:17.6	TRUE  	L1     	ISC      	mb    						
-77.907	-1.491	180.2	5	25	615784028	ISC-EHB  	11/02/1965	10:30.8	      	L1     	ISC      	mb    						
-77.775	-5.747	26.4	5	25	615784167	ISC-EHB  	12/03/1965	54:44.2	      	L2     	ISC      	mb    						
-74.166	-15.897	47.8	5.3	28.09	615784226	ISC-EHB  	28/03/1965	59:58.8	      	L1     	ISC      	mb    						
-72.355	-15.21	127.4	4.5	20.25	615784225	ISC-EHB  	28/03/1965	30:28.6	      	L2     	ISC      	mb    						
-74.35	-8.771	143.5	5.2	27.04	615784265	ISC-EHB  	4/04/1965	09:42.6	      	L1     	ISC      	mb    						
-77.267	-2.794	111.2	4.8	23.04	615784411	ISC-EHB  	9/05/1965	59:01.0	      	L1     	ISC      	mb    						
-73.67	-11.17	111.4	5.4	29.16	615784557	ISC-EHB  	18/06/1965	45:18.2	      	L1     	ISC      	mb    						
-69.94	-18.218	75	4.9	24.01	615784574	ISC-EHB  	24/06/1965	29:47.1	TRUE  	L3     	ISC      	mb    						
-76.961	-2.581	120.8	5.1	26.01	615784589	ISC-EHB  	27/06/1965	09:05.4	      	L1     	ISC      	mb    						
-69.369	-17.611	142.4	5	25	615784643	ISC-EHB  	14/07/1965	29:57.3	      	L2     	ISC      	mb    						
-79.43	-8.879	50	5.3	28.09	615784677	ISC-EHB  	23/07/1965	13:24.1	      	L1     	ISC      	mb    						
-70.683	-17.973	71.8	5.4	29.16	615784706	ISC-EHB  	30/07/1965	45:18.0	      	L1     	ISC      	mb    						
-81.364	-7.421	28	5.9	34.81	615784729	ISC-EHB  	3/08/1965	01:53.0	      	L1     	ISC      	mb    						
-78.753	-1.424	116.7	4.9	24.01	615784747	ISC-EHB  	9/08/1965	40:29.5	      	L1     	ISC      	mb    						
-80.98	-4.344	36.7	5.3	28.09	615784774	ISC-EHB  	13/08/1965	54:44.8	      	L1     	ISC      	mb    						
-68.873	-18.925	126.4	5.8	33.64	615784825	ISC-EHB  	20/08/1965	42:49.8	      	L1     	ISC      	mb    						
-69.688	-17.493	143	4.9	24.01	615784847	ISC-EHB  	25/08/1965	50:37.0	      	L1     	ISC      	mb    						
-77.672	-1.456	188.5	6	36	615784926	ISC-EHB  	17/09/1965	13:57.4	      	L1     	ISC      	mb    	GCMT     	MW    	6.5			
-74.934	-6.383	132.4	4.8	23.04	615784944	ISC-EHB  	20/09/1965	10:40.8	      	L2     	ISC      	mb    						
-75.948	-8.265	140.4	5.1	26.01	615785012	ISC-EHB  	8/10/1965	28:50.2	      	L1     	ISC      	mb    						
-71.269	-9.107	593.2	6	36	615785090	ISC-EHB  	3/11/1965	39:04.3	      	L1     	ISC      	mb    	GCMT     	MW    	6.7			
-78.662	-6.058	25.4	5.3	28.09	615785192	ISC-EHB  	29/11/1965	07:02.2	      	L1     	ISC      	mb    						
-73.478	-14.8	96.9	5	25	615785257	ISC-EHB  	19/12/1965	10:25.1	      	L1     	ISC      	mb    						
-77.133	-3.174	16.4	5.4	29.16	615785284	ISC-EHB  	28/12/1965	04:53.9	      	L2     	ISC      	mb    						
-71.082	-16.617	101.1	5.7	32.49	615785291	ISC-EHB  	30/12/1965	16:04.3	      	L1     	ISC      	mb    						
-70.754	-15.206	170.6	5.1	26.01	615785462	ISC-EHB  	4/01/1966	48:13.3	      	L2     	ISC      	mb    						
-77.091	-2.276	151.9	4.6	21.16	615785478	ISC-EHB  	12/01/1966	02:08.9	      	L2     	ISC      	mb    						
-78.052	-1.637	164	4.4	19.36	615785534	ISC-EHB  	31/01/1966	54:24.6	      	L1     	ISC      	mb    						
-75.325	-15.374	41	5.4	29.16	615785580	ISC-EHB  	9/02/1966	13:29.9	      	L1     	ISC      	mb    						
-75.408	-13.247	101.4	4.5	20.25	615785597	ISC-EHB  	14/02/1966	34:45.3	      	L2     	ISC      	mb    						
-74.9	-7.358	139	4.9	24.01	615785754	ISC-EHB  	23/03/1966	57:11.5	      	L1     	ISC      	mb    						
-80.784	-3.992	30.8	5.4	29.16	615785776	ISC-EHB  	28/03/1966	42:47.0	      	L1     	ISC      	mb    						
-80.912	-4.016	43.5	4.6	21.16	615785777	ISC-EHB  	28/03/1966	29:36.4	      	L2     	ISC      	mb    						
-80.872	-3.983	43.9	5.3	28.09	615785773	ISC-EHB  	28/03/1966	29:23.1	      	L1     	ISC      	mb    						
-74.234	-8.441	158.8	5.8	33.64	615785921	ISC-EHB  	1/05/1966	22:57.2	      	L1     	ISC      	mb    	GCMT     	MW    	6.4			
-74.217	-8.333	160.3	4.7	22.09	615785926	ISC-EHB  	2/05/1966	55:50.8	      	L2     	ISC      	mb    						
-76.277	-14.946	20	4.3	18.49	615786072	ISC-EHB  	7/06/1966	20:05.8	TRUE  	L3     	ISC      	mb    						
-75.849	-15.032	20	4.9	24.01	615786073	ISC-EHB  	7/06/1966	24:16.8	TRUE  	L1     	ISC      	mb    						
-75.924	-15.13	20	5	25	615786076	ISC-EHB  	7/06/1966	14:39.8	TRUE  	L3     	ISC      	mb    						
-75.884	-14.872	24.9	5.6	31.36	615786071	ISC-EHB  	7/06/1966	59:45.8	      	L1     	ISC      	mb    	ISC      	MS    	6.3			
-75.971	-15.275	20	4.6	21.16	615786081	ISC-EHB  	8/06/1966	56:53.5	TRUE  	L3     	ISC      	mb    						
-76.231	-14.862	16.6	5	25	615786091	ISC-EHB  	10/06/1966	13:27.0	      	L2     	ISC      	mb    						
-75.784	-15.521	17.4	4.7	22.09	615786228	ISC-EHB  	5/07/1966	50:18.5	      	L1     	ISC      	mb    						
-75.627	-15.494	27.4	5	25	615786229	ISC-EHB  	6/07/1966	05:55.7	      	L1     	ISC      	mb    						
-74.773	-7.525	146.2	5	25	615786356	ISC-EHB  	6/08/1966	38:43.6	      	L1     	ISC      	mb    						
-77.231	-3.173	114.5	5.5	30.25	615786433	ISC-EHB  	20/08/1966	43:28.9	      	L1     	ISC      	mb    						
-77.483	-1.496	198.1	4.7	22.09	615786461	ISC-EHB  	24/08/1966	10:09.8	      	L1     	ISC      	mb    						
-71.428	-18.432	35	4.5	20.25	615786480	ISC-EHB  	29/08/1966	48:12.1	TRUE  	L3     	ISC      	mb    						
-74.011	-17.826	18.4	5.1	26.01	615786507	ISC-EHB  	4/09/1966	37:53.3	      	L2     	ISC      	mb    						
-75.488	-15.189	35	4.7	22.09	615786584	ISC-EHB  	20/09/1966	32:45.0	      	L1     	ISC      	mb    						
-69.516	-18.164	119.6	5.1	26.01	615786611	ISC-EHB  	30/09/1966	29:12.9	      	L1     	ISC      	mb    						
-74.217	-8.732	154.9	5.2	27.04	615786666	ISC-EHB  	13/10/1966	45:17.0	      	L1     	ISC      	mb    						
-79.688	-10.229	20	5.4	29.16	615786690	ISC-EHB  	17/10/1966	46:50.2	TRUE  	L3     	ISC      	mb    						
-78.67	-10.799	37.4	6.4	40.96	615786689	ISC-EHB  	17/10/1966	41:57.7	      	L1     	ISC      	mb    	ISC      	MS    	8			
-79.63	-10.587	15.4	5	25	615786692	ISC-EHB  	18/10/1966	26:07.4	      	L1     	ISC      	mb    						
-79.006	-10.777	23.8	5	25	615786714	ISC-EHB  	23/10/1966	32:53.6	      	L1     	ISC      	mb    						
-79.007	-10.764	39.4	5.1	26.01	615786743	ISC-EHB  	29/10/1966	32:22.8	      	L2     	ISC      	mb    						
-69.363	-18.356	125.4	5.3	28.09	615786804	ISC-EHB  	14/11/1966	58:38.7	      	L1     	ISC      	mb    						
-73.102	-17.175	23.7	4.5	20.25	615786812	ISC-EHB  	16/11/1966	22:22.8	      	L2     	ISC      	mb    						
-79.095	-10.759	23.4	5	25	615786824	ISC-EHB  	19/11/1966	20:30.3	      	L1     	ISC      	mb    						
-74.63	-7.404	147.2	5.1	26.01	615786940	ISC-EHB  	23/12/1966	59:06.9	      	L1     	ISC      	mb    						
-71.438	-8.916	605.4	4.5	20.25	615787118	ISC-EHB  	27/01/1967	38:52.5	      	L1     	ISC      	mb    						
-71.319	-9.131	600.8	6.2	38.44	615787186	ISC-EHB  	15/02/1967	11:12.7	      	L1     	ISC      	mb    	GCMT     	MW    	7			
-78.615	-0.198	120.4	5.9	34.81	615787237	ISC-EHB  	2/03/1967	47:33.3	      	L1     	ISC      	mb    						
-69.668	-17.524	153	4.6	21.16	615787267	ISC-EHB  	9/03/1967	57:00.6	      	L1     	ISC      	mb    						
-75.017	-6.603	138.9	5	25	615787338	ISC-EHB  	24/03/1967	38:50.6	      	L1     	ISC      	mb    						
-71.341	-8.986	606.2	5.4	29.16	615787351	ISC-EHB  	27/03/1967	26:35.6	      	L1     	ISC      	mb    						
-76.689	-6.122	20	4.8	23.04	615787451	ISC-EHB  	13/04/1967	30:03.5	TRUE  	L3     	ISC      	mb    						
-74.912	-8.546	135	4.8	23.04	615787524	ISC-EHB  	30/04/1967	39:08.9	      	L1     	ISC      	mb    						
-74.609	-10.32	119.4	5	25	615787593	ISC-EHB  	15/05/1967	08:58.8	      	L1     	ISC      	mb    						
-75.431	-15.882	15	4.6	21.16	615787595	ISC-EHB  	16/05/1967	57:56.0	TRUE  	L3     	ISC      	mb    						
-78.65	-0.865	17.4	4.5	20.25	615787612	ISC-EHB  	18/05/1967	48:54.1	      	L1     	ISC      	mb    						
-75.116	-15.886	15	4.5	20.25	615787623	ISC-EHB  	20/05/1967	33:43.5	TRUE  	L3     	ISC      	mb    						
-79.112	-10.887	30.1	4.6	21.16	615787668	ISC-EHB  	3/06/1967	11:09.0	      	L1     	ISC      	mb    						
-74.505	-8.475	150.6	5.2	27.04	615787670	ISC-EHB  	3/06/1967	08:08.8	      	L1     	ISC      	mb    						
-78.631	-0.986	15	4.5	20.25	615787678	ISC-EHB  	7/06/1967	39:49.2	TRUE  	L3     	ISC      	mb    						
-73.387	-14.992	98.1	5.5	30.25	615787717	ISC-EHB  	14/06/1967	14:18.3	      	L1     	ISC      	mb    						
-75.685	-14.991	31.4	4.6	21.16	615787728	ISC-EHB  	16/06/1967	01:38.5	      	L1     	ISC      	mb    						
-81.045	-3.928	39.6	4.4	19.36	615787735	ISC-EHB  	18/06/1967	10:54.6	      	L1     	ISC      	mb    						
-77.785	-2.285	25	5.5	30.25	615787746	ISC-EHB  	21/06/1967	49:55.5	TRUE  	L1     	ISC      	mb    	ISC      	MS    	5.5			
-74.91	-15.919	22.9	4.8	23.04	615787808	ISC-EHB  	3/07/1967	28:10.9	      	L2     	ISC      	mb    						
-74.495	-8.801	150.6	4.7	22.09	615787834	ISC-EHB  	8/07/1967	24:57.4	      	L1     	ISC      	mb    						
-74.898	-15.138	72.9	5.2	27.04	615787854	ISC-EHB  	13/07/1967	20:40.7	      	L1     	ISC      	mb    						
-72.115	-17.464	42.9	5.2	27.04	615787856	ISC-EHB  	14/07/1967	19:29.8	      	L1     	ISC      	mb    						
-77.355	-6.337	131.4	4.8	23.04	615787858	ISC-EHB  	14/07/1967	08:45.7	      	L1     	ISC      	mb    						
-79.645	-11.28	10.1	4.8	23.04	615787895	ISC-EHB  	24/07/1967	45:21.6	      	L1     	ISC      	mb    						
-76.715	-12.944	51.3	5.6	31.36	615787934	ISC-EHB  	1/08/1967	13:42.5	      	L1     	ISC      	mb    						
-74.907	-13.576	108.5	5.3	28.09	615787947	ISC-EHB  	3/08/1967	40:21.5	      	L1     	ISC      	mb    						
-73.812	-8.487	39.1	5	25	615787964	ISC-EHB  	9/08/1967	14:09.1	      	L1     	ISC      	mb    						
-78.304	-10.891	41.2	4.9	24.01	615788018	ISC-EHB  	22/08/1967	42:45.7	      	L1     	ISC      	mb    						
-76.99	-12.617	54.1	4.9	24.01	615788020	ISC-EHB  	22/08/1967	59:35.5	      	L1     	ISC      	mb    						
-81.611	-4.373	19.8	5	25	615788024	ISC-EHB  	23/08/1967	21:58.9	      	L1     	ISC      	mb    						
-71.139	-9.957	596.9	4.8	23.04	615788055	ISC-EHB  	28/08/1967	56:51.5	      	L1     	ISC      	mb    						
-78.324	-10.446	72.5	5	25	615788071	ISC-EHB  	31/08/1967	06:39.0	      	L1     	ISC      	mb    						
-79.68	-10.602	12.2	6.3	39.69	615788085	ISC-EHB  	3/09/1967	07:28.5	      	L1     	ISC      	mb    	ISC      	MS    	7			
-79.741	-10.604	16.8	4.8	23.04	615788089	ISC-EHB  	4/09/1967	06:06.9	TRUE  	L1     	ISC      	mb    						
-79.574	-10.637	25	4.7	22.09	615788133	ISC-EHB  	13/09/1967	13:47.2	TRUE  	L3     	ISC      	mb    						
-74.472	-7.916	144.7	5.2	27.04	615788169	ISC-EHB  	20/09/1967	33:55.8	      	L1     	ISC      	mb    						
-75.333	-15.886	15	4.8	23.04	615788194	ISC-EHB  	25/09/1967	03:49.6	TRUE  	L3     	ISC      	mb    						
-75.517	-14.465	62.5	5.4	29.16	615788240	ISC-EHB  	5/10/1967	41:28.9	      	L1     	ISC      	mb    						
-71.195	-10.356	587.1	5.1	26.01	615788269	ISC-EHB  	11/10/1967	28:11.3	      	L1     	ISC      	mb    						
-69.859	-17.057	156.6	4.4	19.36	615788323	ISC-EHB  	22/10/1967	40:53.7	      	L1     	ISC      	mb    						
-79.01	-2.44	91.7	5	25	615788336	ISC-EHB  	24/10/1967	17:51.8	      	L1     	ISC      	mb    						
